original_path	new_path	reason	size_bytes	md5
C:\ALL THEORY\NB_HAAR_hodge_glueball_feshbach_krylov_production_v2.ipynb	C:\ALL THEORY\programs\hodge_haar_krylov\NB_HAAR_hodge_glueball_feshbach_krylov_production_v2.ipynb	pattern ^(Hodge|HODGE).*(Haar|Krylov|Feshbach|Mass_String|RESOLVENT).*\.(ipynb|py)$	39609	77bc3f2e5a76f2e8d6668a97c9bbe22b
C:\ALL THEORY\NB_HAAR_hodge_electric_resolvent_v06c_alt.ipynb	C:\ALL THEORY\programs\hodge_haar_krylov\NB_HAAR_hodge_electric_resolvent_v06c_alt.ipynb	pattern ^(Hodge|HODGE).*(Haar|Krylov|Feshbach|Mass_String|RESOLVENT).*\.(ipynb|py)$	134431	0aeba79fc38724d8e277774dfe836a69
C:\ALL THEORY\NB_HAAR_hodge_electric_resolvent_v06c.ipynb	C:\ALL THEORY\programs\hodge_haar_krylov\NB_HAAR_hodge_electric_resolvent_v06c.ipynb	pattern ^(Hodge|HODGE).*(Haar|Krylov|Feshbach|Mass_String|RESOLVENT).*\.(ipynb|py)$	134431	e35820e2b4ab3b600b5cae2280858d74
C:\ALL THEORY\NB_HAAR_hodge_explicit_intertwiner_v04.ipynb	C:\ALL THEORY\programs\hodge_haar_krylov\NB_HAAR_hodge_explicit_intertwiner_v04.ipynb	pattern ^(Hodge|HODGE).*(Haar|Krylov|Feshbach|Mass_String|RESOLVENT).*\.(ipynb|py)$	54200	13cc4f04436250d30421539f37851333
C:\ALL THEORY\NB_HAAR_hodge_mixed_determinant_v05c.ipynb	C:\ALL THEORY\programs\hodge_haar_krylov\NB_HAAR_hodge_mixed_determinant_v05c.ipynb	pattern ^(Hodge|HODGE).*(Haar|Krylov|Feshbach|Mass_String|RESOLVENT).*\.(ipynb|py)$	38048	40c1656faaebf5245133064c57427df1
C:\ALL THEORY\Hodge_Mass_String_GlobalQ_Krylov_v5_A100 (1).ipynb	C:\ALL THEORY\QUARANTINE\duplicates_exact\Hodge_Mass_String_GlobalQ_Krylov_v5_A100 (1).ipynb	byte-identical copy of NB_HAAR_hodge_mass_string_globalq_krylov_v5_a100.ipynb	203759	64d123bbfba5d6ca43c9cc9901a2078b
C:\ALL THEORY\NB_HAAR_hodge_mass_string_globalq_krylov_v5_a100.ipynb	C:\ALL THEORY\programs\hodge_haar_krylov\NB_HAAR_hodge_mass_string_globalq_krylov_v5_a100.ipynb	pattern ^(Hodge|HODGE).*(Haar|Krylov|Feshbach|Mass_String|RESOLVENT).*\.(ipynb|py)$	203759	64d123bbfba5d6ca43c9cc9901a2078b
C:\ALL THEORY\NB_HAAR_hodge_mass_string_nestedq_moment_v7_a100.ipynb	C:\ALL THEORY\programs\hodge_haar_krylov\NB_HAAR_hodge_mass_string_nestedq_moment_v7_a100.ipynb	pattern ^(Hodge|HODGE).*(Haar|Krylov|Feshbach|Mass_String|RESOLVENT).*\.(ipynb|py)$	1139090	bcbb91eb20ade4d6019ca0c4c8528e52
C:\ALL THEORY\NB_HAAR_hodge_mass_string_nestedq_moment_v7_a100.ipynb	C:\ALL THEORY\programs\hodge_haar_krylov\NB_HAAR_hodge_mass_string_nestedq_moment_v7_a100.ipynb	pattern ^(Hodge|HODGE).*(Haar|Krylov|Feshbach|Mass_String|RESOLVENT).*\.(ipynb|py)$	184017	b08ffad5fa3ae2ab694a0070c8c64049
C:\ALL THEORY\CERT_O4_hodge_fullt1_occurrence_preflight.json	C:\ALL THEORY\programs\hodge_o4_adjudication\src\CERT_O4_hodge_fullt1_occurrence_preflight.json	pattern ^Hodge_O4_.*\.(py|json)$	2641	ce8c12f58636afa1d97986ac44157a00
