u,lowest_energy_O2_normal_form,second_energy_O2_normal_form,gap,lowest_shell4_weight,lowest_shell6_lower_weight,lowest_shell6_middle_weight,lowest_shell6_upper_weight
0.123,2.783100535015416,3.6693589820188124,0.8862584470033963,0.9728655511847685,0.008452707281454138,0.013586224895085257,0.005095516638692101
0.124,2.7838639006373356,3.664937975387437,0.8810740747501016,0.9721784571866727,0.008689377385347597,0.013928838455710071,0.005203326972269577
0.125,2.784620229072837,3.660489822549556,0.8758695934767191,0.9714752887918489,0.008932477205957074,0.014279335504135876,0.005312898498058246
0.126,2.7853693391264986,3.6560145572272162,0.8706452181007176,0.9707556292171303,0.009182203703841539,0.014637911486836776,0.005424255592191578
0.127,2.786111044993816,3.651512213880666,0.8654011688868501,0.9700190491497575,0.009438760857959432,0.015004767207771443,0.005537422784511811
0.128,2.786845156129352,3.646982827725248,0.8601376715958957,0.9692651063503347,0.009702359941389033,0.015380108966847862,0.005652424741427961
0.129,2.7875714771107933,3.6424264347486397,0.8548549576378464,0.9684933452437082,0.009973219808540624,0.01576414870048788,0.005769286247263627
0.13,2.788289807498784,3.6378430717283945,0.8495532642296104,0.9677032964975079,0.010251567194338236,0.016157104124155094,0.005888032183999024
0.131,2.7889999416924223,3.6332327762499177,0.8442328345574954,0.9668944765881479,0.010537637025860637,0.016559198876685024,0.006008687509306218
0.132,2.7897016687802907,3.62859558672477,0.8388939179444792,0.9660663873540377,0.010831672746954934,0.016970662666235776,0.006131277232771622
0.133,2.7903947723868954,3.623931542409337,0.8335367700224414,0.9652185155358088,0.011133926656348717,0.017391731417648312,0.0062558263901941955
0.134,2.7910790305143793,3.6192406834238566,0.8281616529094773,0.9643503323033749,0.011444660259805414,0.017822647420978475,0.006382360015841272
0.135,2.7917542153793873,3.6145230507718367,0.8227688353924494,0.9634612927696445,0.011764144636885668,0.0182636594809305,0.006510903112539229
0.136,2.7924200932449392,3.6097786863597996,0.8173585931148604,0.9625508354907509,0.012092660822892941,0.018715023066887587,0.006641480619468442
0.137,2.7930764242471873,3.60500763301738,0.8119312087701926,0.9616183819526721,0.012430500206602151,0.019177000463198802,0.006774117377527012
0.138,2.793722962216921,3.600209934517811,0.8064869723008901,0.9606633360441628,0.012777964944379999,0.01964986091933777,0.006908838092119744
0.139,2.794359454495676,3.5953856355987175,0.8010261811030417,0.9596850835159375,0.013135368391330634,0.020133880799508674,0.007045667293223168
0.14,2.794985641746324,3.5905347819832683,0.7955491402369441,0.9586829914261003,0.013503035550107819,0.02062934373122239,0.0071846292925695
0.14100000000000001,2.7956012577580025,3.585657420401641,0.7900561626436384,0.9576564075718421,0.013881303538055431,0.021136540752316822,0.0073257481377858955
0.14200000000000002,2.796206029245245,3.5807535986128247,0.7845475693675796,0.9566046599075004,0.01427052207334692,0.021655770455835128,0.007469047563317219
0.14300000000000002,2.796799675641191,3.57582336542673,0.7790236897855389,0.9555270559491154,0.014671053980811683,0.022187339132118854,0.007614550937954102
0.14400000000000002,2.797381908884724,3.5708667707265516,0.7734848618418275,0.9544228821656792,0.015083275718142533,0.022731560907398897,0.007762281208779493
0.145,2.7979524332014405,3.5658838654914686,0.7679314322900281,0.9532914033573648,0.01550757792319115,0.023288757878104378,0.007912260841339837
0.146,2.798510944878285,3.5608747018195643,0.7623637569412796,0.9521318620210757,0.015944365983063175,0.02385926024002213,0.00806451175583917
0.147,2.799057132031756,3.5558393329509674,0.7567822009192113,0.950943477703759,0.016394060625731302,0.02444340641136292,0.00821905525914663
0.148,2.7995906743695667,3.5507778132912744,0.7511871389217077,0.9497254463440239,0.01685709853488157,0.025041543148694313,0.008375911972400344
0.149,2.8001112429456265,3.545690198435073,0.7455789554894463,0.948476939602695,0.01733393298871488,0.025654025654606498,0.008535101753983459
